artist,song_name,quarterly_date,n_streams
Ed Sheeran,Supermarket Flowers,2017 Q1,10504655
Hailee Steinfeld,Starving,2017 Q1,10321057
Snakehips,Don't Leave,2017 Q1,10092625
Ed Sheeran,Nancy Mulligan,2017 Q1,9996073
Rae Sremmurd,Black Beatles,2017 Q1,9930675
Tinie Tempah,Text from Your Ex (feat. Tinashe),2017 Q1,9649311
Calvin Harris,Slide (feat. Frank Ocean & Migos),2017 Q1,9463552
Little Mix,Oops,2017 Q1,9416565
John Legend,Love Me Now,2017 Q1,9301749
Ed Sheeran,Hearts Don't Break Around Here,2017 Q1,9064051
Ariana Grande,Side To Side,2017 Q1,8874522
Galantis,Love on Me,2017 Q1,8808352
Ed Sheeran,Eraser,2017 Q1,8795190
Major Lazer,Cold Water (feat. Justin Bieber & MØ),2017 Q1,8775836
Ed Sheeran,Bibia Be Ye Ye,2017 Q1,8640667
AJR,Weak,2017 Q1,8281304
Rag'n'Bone Man,Skin,2017 Q1,8209127
Calvin Harris,My Way,2017 Q1,8142134
DJ Snake,Let Me Love You,2017 Q1,8142048
Ed Sheeran,Shape of You - Stormzy Remix,2017 Q1,7989374
Charli XCX,After the Afterparty (feat. Lil Yachty),2017 Q1,7875223
Ed Sheeran,Photograph,2017 Q1,7813232
Shawn Mendes,Mercy,2017 Q1,7751494
Anne-Marie,Ciao Adios,2017 Q1,7691304
Drake,Passionfruit,2017 Q1,7493337
Ed Sheeran,Save Myself,2017 Q1,7351249
Bruno Mars,That's What I Like,2017 Q1,7162125
Ed Sheeran,Thinking out Loud,2017 Q1,6997717
The Killers,Mr. Brightside,2017 Q1,6989052
Zedd,Stay (with Alessia Cara),2017 Q1,6983383
Maroon 5,Cold,2017 Q1,6867633
Drake,Controlla,2017 Q1,6667861
Imagine Dragons,Believer,2017 Q1,6649526
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",2017 Q1,6598501
Mura Masa,Love$ick,2017 Q1,6365319
Martin Garrix,In the Name of Love,2017 Q1,6224416
Drake,Too Good,2017 Q1,6136589
Naughty Boy,Should've Been Me,2017 Q1,6043688
Shawn Mendes,Treat You Better,2017 Q1,5900947
The Chainsmokers,Don't Let Me Down (feat. Daya),2017 Q1,5892798
Sia,The Greatest (feat. Kendrick Lamar),2017 Q1,5647414
Twenty One Pilots,Heathens,2017 Q1,5570456
Childish Gambino,Redbone,2017 Q1,5562796
Dave,Samantha,2017 Q1,5468130
Lorde,Green Light,2017 Q1,5336755
The Kooks,Naive,2017 Q1,5323740
Big Sean,Bounce Back,2017 Q1,5133266
The 1975,The Sound,2017 Q1,5118650
The Chainsmokers,All We Know,2017 Q1,5084107
Calvin Harris,This Is What You Came For (feat. Rihanna),2017 Q1,5049772
Justin Bieber,Sorry,2017 Q1,5042671
The Weeknd,Party Monster,2017 Q1,4987741
Two Door Cinema Club,What You Know,2017 Q1,4959945
James Arthur,Safe Inside,2017 Q1,4896731
Zara Larsson,Lush Life,2017 Q1,4835246
Louisa,So Good,2017 Q1,4805817
Drake,Blem,2017 Q1,4779094
Giggs,Lock Doh,2017 Q1,4770115
R. Kelly,Ignition - Remix,2017 Q1,4723650
Kanye West,Stronger,2017 Q1,4708135
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,2017 Q1,4697822
Tinie Tempah,Girls Like (feat. Zara Larsson),2017 Q1,4658443
Arctic Monkeys,Fluorescent Adolescent,2017 Q1,4604524
Bebe Rexha,I Got You,2017 Q1,4601002
Calum Scott,Dancing On My Own,2017 Q1,4565823
Justin Bieber,Love Yourself,2017 Q1,4404566
Jonas Blue,Perfect Strangers,2017 Q1,4378676
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),2017 Q1,4372752
Bastille,Pompeii,2017 Q1,4360230
Clean Bandit,Symphony (feat. Zara Larsson),2017 Q1,4346495
Sigala,Only One - Radio Edit,2017 Q1,4339949
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,2017 Q1,4337053
James Bay,Let It Go,2017 Q1,4331128
Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),2017 Q1,4312885
Ed Sheeran,Tenerife Sea,2017 Q1,4263982
Ariana Grande,Into You,2017 Q1,4250046
Future,Mask Off,2017 Q1,4244676
M.O,Not In Love,2017 Q1,4244193
Ed Sheeran,Don't,2017 Q1,4234007
J. Cole,Deja Vu,2017 Q1,4220785
Drake,KMT,2017 Q1,4204864
James Hersey,Miss You,2017 Q1,4173158
Lukas Graham,7 Years,2017 Q1,4155342
Jon Bellion,All Time Low,2017 Q1,4122494
Ed Sheeran,The A Team,2017 Q1,4114496
Sia,Move Your Body - Single Mix,2017 Q1,4055906
Twenty One Pilots,Stressed Out,2017 Q1,4035179
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",2017 Q1,4032705
Stormzy,Shut Up,2017 Q1,4018083
Stormzy,Cigarettes & Cush (feat. Kehlani & Lily Allen),2017 Q1,3961379
The White Stripes,Seven Nation Army,2017 Q1,3958346
Stormzy,Cold,2017 Q1,3906002
Shawn Mendes,Stitches,2017 Q1,3870528
Drake,Jumpman,2017 Q1,3858951
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",2017 Q1,3803944
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2017 Q1,3793268
Arctic Monkeys,Do I Wanna Know?,2017 Q1,3789449
Drake,Get It Together,2017 Q1,3789325
Oasis,Wonderwall - Remastered,2017 Q1,3726180
ZAYN,PILLOWTALK,2017 Q1,3708009
Drake,Portland,2017 Q1,3637460
KYLE,iSpy (feat. Lil Yachty),2017 Q1,3635476
Drake,No Long Talk,2017 Q1,3577095
Foster The People,Pumped Up Kicks,2017 Q1,3563254
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),2017 Q1,3559143
DNCE,Cake By The Ocean,2017 Q1,3536530
Rihanna,Work,2017 Q1,3527509
Drake,Madiba Riddim,2017 Q1,3455865
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017 Q1,3428477
Drake,Gyalchester,2017 Q1,3423759
Adele,Hello,2017 Q1,3338863
MiC LOWRY,Oh Lord,2017 Q1,3320023
Stormzy,Mr Skeng,2017 Q1,3308472
Stormzy,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",2017 Q1,3246113
Dave,Wanna Know Remix (feat. Drake),2017 Q1,3243870
Lana Del Rey,Love,2017 Q1,3235624
Hozier,Take Me To Church,2017 Q1,3234351
Drake,Skepta Interlude,2017 Q1,3188005
Stormzy,Bad Boys (feat. Ghetts and J Hus),2017 Q1,3155283
