artist,song_name,quarterly_date,n_streams,genre,Genre_Group
Katy Perry,Chained To The Rhythm,2017 Q1,13058411.0,Pop,Pop
Ed Sheeran,Perfect,2017 Q1,13025309.0,Pop,Pop
Jonas Blue,By Your Side,2017 Q1,13004901.0,House,Dance/House
Ed Sheeran,Happier,2017 Q1,12916138.0,Pop,Pop
Tom Zanetti,You Want Me (feat. Sadie Ama),2017 Q1,12568437.0,House,Dance/House
Kygo,It Ain't Me (with Selena Gomez),2017 Q1,12477248.0,House,Dance/House
Dua Lipa,Be the One,2017 Q1,12404194.0,Pop,Pop
Sage The Gemini,Now and Later,2017 Q1,12305077.0,Hip-Hop,Rap/Hip-Hop
Machine Gun Kelly,Bad Things (with Camila Cabello),2017 Q1,12221361.0,Pop,Pop
Ed Sheeran,What Do I Know?,2017 Q1,12146039.0,Soft Pop,Pop
Robin Schulz,Shed a Light,2017 Q1,12083809.0,House,Dance/House
Adele,Water Under the Bridge,2017 Q1,12078971.0,Soft Pop,Pop
Migos,Bad and Boujee (feat. Lil Uzi Vert),2017 Q1,11890988.0,Rap,Rap/Hip-Hop
Major Lazer,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),2017 Q1,11777203.0,Edm,Electronic
Nevada,The Mack,2017 Q1,11577380.0,House,Dance/House
Ed Sheeran,Dive,2017 Q1,11506710.0,Soft Pop,Pop
Alessia Cara,"How Far I'll Go - From ""Moana""",2017 Q1,11466494.0,Soundtrack,Soundtrack
Julia Michaels,Issues,2017 Q1,11445592.0,Pop,Pop
Little Mix,Shout Out to My Ex,2017 Q1,11418380.0,Pop,Pop
Bruno Mars,24K Magic,2017 Q1,11003869.0,Pop,Pop
Ed Sheeran,Barcelona,2017 Q1,10707295.0,Soft Pop,Pop
Ed Sheeran,Supermarket Flowers,2017 Q1,10504655.0,Soft Pop,Pop
Hailee Steinfeld,Starving,2017 Q1,10321057.0,Pop,Pop
Snakehips,Don't Leave,2017 Q1,10092625.0,Indie,Indie
Ed Sheeran,Nancy Mulligan,2017 Q1,9996073.0,Soft Pop,Pop
Rae Sremmurd,Black Beatles,2017 Q1,9930675.0,Hip-Hop,Rap/Hip-Hop
Tinie Tempah,Text from Your Ex (feat. Tinashe),2017 Q1,9649311.0,Grime,Electronic
Calvin Harris,Slide (feat. Frank Ocean & Migos),2017 Q1,9463552.0,Edm,Electronic
Little Mix,Oops,2017 Q1,9416565.0,Pop,Pop
John Legend,Love Me Now,2017 Q1,9301749.0,R&B,R&B
Ed Sheeran,Hearts Don't Break Around Here,2017 Q1,9064051.0,Soft Pop,Pop
Ariana Grande,Side To Side,2017 Q1,8874522.0,Pop,Pop
Galantis,Love on Me,2017 Q1,8808352.0,Electronic,Electronic
Ed Sheeran,Eraser,2017 Q1,8795190.0,Soft Pop,Pop
Major Lazer,Cold Water (feat. Justin Bieber & MØ),2017 Q1,8775836.0,Edm,Electronic
Ed Sheeran,Bibia Be Ye Ye,2017 Q1,8640667.0,Soft Pop,Pop
AJR,Weak,2017 Q1,8281304.0,Pop,Pop
Rag'n'Bone Man,Skin,2017 Q1,8209127.0,Hip-Hop,Rap/Hip-Hop
Calvin Harris,My Way,2017 Q1,8142134.0,Electronic,Electronic
DJ Snake,Let Me Love You,2017 Q1,8142048.0,Electronic,Electronic
Ed Sheeran,Shape of You - Stormzy Remix,2017 Q1,7989374.0,Soft Pop,Pop
Charli XCX,After the Afterparty (feat. Lil Yachty),2017 Q1,7875223.0,Pop,Pop
