year_quarter,genre,Genre_Group,streams,gdp_(£m),inflation_(%),hfce_(£m),unemployment_rate_(%)
2017 Q1,Pop,Pop,4331128.0,594423.0,2.2,372376.0,4.6
2017 Q1,Unknown,Unknown,4312885.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,4263982.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,4250046.0,594423.0,2.2,372376.0,4.6
2017 Q1,Hip-Hop,Rap/Hip-Hop,4244676.0,594423.0,2.2,372376.0,4.6
2017 Q1,Hip-Hop,Rap/Hip-Hop,4244193.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,4234007.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,4220785.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,4204864.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,4173158.0,594423.0,2.2,372376.0,4.6
2017 Q1,Funk,Funk,4155342.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,4122494.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,4114496.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,4055906.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rock,Rock/Punk/Metal,4035179.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,4032705.0,594423.0,2.2,372376.0,4.6
2017 Q1,Grime,Electronic,4018083.0,594423.0,2.2,372376.0,4.6
