,Song ID,Spotify URI,Song Title,Performer,Region,Quarter,Quarterly Streams,Best Quarterly Position,Peak Position,Worst Position,Time On Chart,Consecutive Weeks,Instance,Previous Week,Chart URL
5936,OpheliaThe Lumineers,5NORWMFC27ywGSZxi8uquP,Ophelia,The Lumineers,gb,2021 Q4,697060,183,145,200,26,4.0,6.0,184.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
1474,Chasing CarsSnow Patrol,11bD1JtSjlIgKgZG2134DZ,Chasing Cars,Snow Patrol,gb,2021 Q4,696957,179,125,200,77,4.0,17.0,178.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
8204,The NightsAvicii,0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,gb,2021 Q4,696242,195,38,197,9,,5.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
637,Babe (Taylor's Version) (From The Vault)Taylor Swift,0v4z1tuZvn6LGknom9Qx7d,Babe (Taylor's Version) (From The Vault),Taylor Swift,gb,2021 Q4,696126,67,67,67,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
1597,CirclesPost Malone,21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,gb,2021 Q4,692758,185,2,196,100,7.0,6.0,187.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
2571,Feel Good Inc.Gorillaz,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,gb,2021 Q4,692266,197,157,200,17,,6.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
3664,I Don't Want YouRiton,5vcfy76yr163pFH7NkN6nX,I Don't Want You,Riton,gb,2021 Q4,686079,189,145,199,6,5.0,1.0,191.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
2413,Everybody Wants To Rule The WorldTears For Fears,4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,gb,2021 Q4,681835,195,150,198,27,4.0,4.0,190.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
3517,Holy Ground (Taylor's Version)Taylor Swift,7J4b3LVCIGO4CMBDFLPoP6,Holy Ground (Taylor's Version),Taylor Swift,gb,2021 Q4,681366,70,70,70,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
4926,MAFIATravis Scott,08F16baYbciTva9P4BvpiI,MAFIA,Travis Scott,gb,2021 Q4,675032,54,54,54,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-11
2710,"Fly As MeBruno Mars, Anderson .Paak, Silk Sonic",7HEWQj82REyDOKMAAlB9pc,Fly As Me,"Bruno Mars, Anderson .Paak, Silk Sonic",gb,2021 Q4,648193,74,74,74,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
4028,IntroD-Block Europe,0UQT8GoNK06QGk9PlWlSu3,Intro,D-Block Europe,gb,2021 Q4,643182,74,74,117,2,,2.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-25
1571,"Chrome HeartsD-Block Europe, Offset",5ZeEivSbs2dhSxaUSdBeGo,Chrome Hearts,"D-Block Europe, Offset",gb,2021 Q4,629805,76,76,76,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-25
2731,Forever Winter (Taylor's Version) (From The Vault)Taylor Swift,3oGVx9RBmiYGv5ZCecWLkx,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,gb,2021 Q4,628246,77,77,77,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
854,Begin Again (Taylor's Version)Taylor Swift,05GsNucq8Bngd9fnd4fRa0,Begin Again (Taylor's Version),Taylor Swift,gb,2021 Q4,627878,78,78,78,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
2096,"Don't GoD-Block Europe, Wretch 32",4kHsTSrTX9IqqsI436VgTa,Don't Go,"D-Block Europe, Wretch 32",gb,2021 Q4,626718,77,77,77,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-25
1684,Come Back...Be Here (Taylor's Version)Taylor Swift,4pNApnaUWAL2J4KO2eqokq,Come Back...Be Here (Taylor's Version),Taylor Swift,gb,2021 Q4,626412,79,79,79,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
2942,"Girl Of My Dreams (with SUGA of BTS)Juice WRLD, SUGA, BTS",7DF8lvLdV3htIbuTWpc7lR,Girl Of My Dreams (with SUGA of BTS),"Juice WRLD, SUGA, BTS",gb,2021 Q4,623542,96,96,96,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-16
8179,The Lucky One (Taylor's Version)Taylor Swift,4e5ayHsOLJNLTGfjau2mEw,The Lucky One (Taylor's Version),Taylor Swift,gb,2021 Q4,620211,80,80,80,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
1045,Blood DiamondsD-Block Europe,0qL2I0zJBhdVV5SrfVIrcx,Blood Diamonds,D-Block Europe,gb,2021 Q4,617659,78,78,78,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-25
8028,Tell It To My HeartMEDUZA,46nvQpUDsxpS08UTFOeKTA,Tell It To My Heart,MEDUZA,gb,2021 Q4,609490,68,68,68,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-04
6724,Rockstar In His PrimeJuice WRLD,0v36cov6Z6aEV5ZgIlqZMk,Rockstar In His Prime,Juice WRLD,gb,2021 Q4,601706,104,104,104,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-16
7370,"SkateBruno Mars, Anderson .Paak, Silk Sonic",71l8BEtJPXXlWbV6hhTHWK,Skate,"Bruno Mars, Anderson .Paak, Silk Sonic",gb,2021 Q4,600260,82,82,82,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
1781,Crypto's & CrimeD-Block Europe,1RkDvp3Cj5PsOcyR9uAqwK,Crypto's & Crime,D-Block Europe,gb,2021 Q4,598522,83,83,83,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-25
7615,Starlight (Taylor's Version)Taylor Swift,7A2cNLRT0YJc1yjxHlKihs,Starlight (Taylor's Version),Taylor Swift,gb,2021 Q4,598243,83,83,83,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
312,"After Last Night (with Thundercat & Bootsy Collins)Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",7ozvuHnA1zWzuTvReLChVL,After Last Night (with Thundercat & Bootsy Collins),"Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",gb,2021 Q4,597648,84,84,84,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
6878,Sad Beautiful Tragic (Taylor's Version)Taylor Swift,73qMN9bXy7MSPwwGfH3wQr,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,gb,2021 Q4,595279,87,87,87,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
9329,You Wouldn't UnderstandJuice WRLD,2W1Aq2c6PUSHBC0golgHLK,You Wouldn't Understand,Juice WRLD,gb,2021 Q4,594572,106,106,106,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-16
