year_quarter,genre,Genre_Group,streams,gdp_(£m),inflation_(%),hfce_(£m),unemployment_rate_(%),max_streams_per_genre,is_max_streams,max_stream_genre
2017 Q3,Pop Punk,Rock/Punk/Metal,590032,601961,2.7,374572,4.3,590032,true,Hip-Hop
2017 Q3,Pop-Rock,Pop,1118520,601961,2.7,374572,4.3,1118520,true,Hip-Hop
2017 Q3,Psychedelic Rock,Rock/Punk/Metal,4939787,601961,2.7,374572,4.3,4939787,true,Hip-Hop
2017 Q3,Psychedelic Soul,Soul,7404722,601961,2.7,374572,4.3,7404722,true,Hip-Hop
2017 Q3,Rage Rap,Rap/Hip-Hop,3476107,601961,2.7,374572,4.3,3476107,true,Hip-Hop
2017 Q3,Reggae,Reggae,1126982,601961,2.7,374572,4.3,1126982,true,Hip-Hop
2017 Q3,Reggaeton,Reggae,8690023,601961,2.7,374572,4.3,8690023,true,Hip-Hop
2017 Q3,Rock,Rock/Punk/Metal,8337339,601961,2.7,374572,4.3,8337339,true,Hip-Hop
2017 Q3,Rock & Roll,Rock & Roll,3292299,601961,2.7,374572,4.3,3292299,true,Hip-Hop
2017 Q3,Saxophone,Other,5948430,601961,2.7,374572,4.3,5948430,true,Hip-Hop
2017 Q3,Soft Pop,Pop,37870769,601961,2.7,374572,4.3,37870769,true,Hip-Hop
2017 Q3,Soul,Soul,5699123,601961,2.7,374572,4.3,5699123,true,Hip-Hop
2017 Q3,Soundtrack,Soundtrack,4842317,601961,2.7,374572,4.3,4842317,true,Hip-Hop
2017 Q3,Southern Hip Hop,Rap/Hip-Hop,632218,601961,2.7,374572,4.3,632218,true,Hip-Hop
2017 Q3,Swedish,Other,257302,601961,2.7,374572,4.3,257302,true,Hip-Hop
2017 Q3,Synthpop,Pop,5505022,601961,2.7,374572,4.3,5505022,true,Hip-Hop
2017 Q3,Trap,Rap/Hip-Hop,18466403,601961,2.7,374572,4.3,18466403,true,Hip-Hop
2017 Q3,Tropical House,Dance/House,7806991,601961,2.7,374572,4.3,7806991,true,Hip-Hop
2017 Q3,Wizkid,Afrobeats,1068944,601961,2.7,374572,4.3,1068944,true,Hip-Hop
2017 Q4,Acoustic,Acoustic,1089537,606396,2.8,376343,4.4,1089537,true,Hip-Hop
2017 Q4,Afroswing,Afrobeats,29340306,606396,2.8,376343,4.4,29340306,true,Hip-Hop
2017 Q4,Alternative Rock,Alternative,16517177,606396,2.8,376343,4.4,16517177,true,Hip-Hop
2017 Q4,Awesome,Other,1375193,606396,2.8,376343,4.4,1375193,true,Hip-Hop
2017 Q4,Azonto,Afrobeats,2520068,606396,2.8,376343,4.4,2520068,true,Hip-Hop
2017 Q4,Baroque Pop,Pop,3436147,606396,2.8,376343,4.4,3436147,true,Hip-Hop
2017 Q4,British,Other,4700115,606396,2.8,376343,4.4,4700115,true,Hip-Hop
2017 Q4,Britpop,Pop,11416818,606396,2.8,376343,4.4,11416818,true,Hip-Hop
2017 Q4,Cardi B,Rap/Hip-Hop,3238272,606396,2.8,376343,4.4,3238272,true,Hip-Hop
2017 Q4,Celtic Rock,Rock/Punk/Metal,11771706,606396,2.8,376343,4.4,11771706,true,Hip-Hop
2017 Q4,Christian Country,Country,1335466,606396,2.8,376343,4.4,1335466,true,Hip-Hop
2017 Q4,Christmas,Christmas,81029357,606396,2.8,376343,4.4,81029357,true,Hip-Hop
2017 Q4,Classic Rock,Rock/Punk/Metal,4831134,606396,2.8,376343,4.4,4831134,true,Hip-Hop
2017 Q4,Comedy,Other,21461154,606396,2.8,376343,4.4,21461154,true,Hip-Hop
2017 Q4,Country,Country,1777372,606396,2.8,376343,4.4,1777372,true,Hip-Hop
2017 Q4,Country Pop,Country,313652,606396,2.8,376343,4.4,313652,true,Hip-Hop
2017 Q4,Dance,Dance/House,47524315,606396,2.8,376343,4.4,47524315,true,Hip-Hop
2017 Q4,Dance Pop,Dance/House,5785700,606396,2.8,376343,4.4,5785700,true,Hip-Hop
2017 Q4,Dancehall,Reggae,17336178,606396,2.8,376343,4.4,17336178,true,Hip-Hop
2017 Q4,Dance-Pop,Dance/House,3673097,606396,2.8,376343,4.4,3673097,true,Hip-Hop
2017 Q4,Deep House,Dance/House,6284270,606396,2.8,376343,4.4,6284270,true,Hip-Hop
2017 Q4,Disco,Disco,6274059,606396,2.8,376343,4.4,6274059,true,Hip-Hop
2017 Q4,Drill,Rap/Hip-Hop,354322,606396,2.8,376343,4.4,354322,true,Hip-Hop
2017 Q4,Dubstep,Electronic,2530348,606396,2.8,376343,4.4,2530348,true,Hip-Hop
2017 Q4,Electro House,Dance/House,8705934,606396,2.8,376343,4.4,8705934,true,Hip-Hop
2017 Q4,Electro Pop,Electronic,7275271,606396,2.8,376343,4.4,7275271,true,Hip-Hop
2017 Q4,Electronic,Electronic,18450670,606396,2.8,376343,4.4,18450670,true,Hip-Hop
2017 Q4,Emo Rap,Rap/Hip-Hop,10863548,606396,2.8,376343,4.4,10863548,true,Hip-Hop
2017 Q4,Folk,Folk,682261,606396,2.8,376343,4.4,682261,true,Hip-Hop
2017 Q4,French House,Dance/House,3008556,606396,2.8,376343,4.4,3008556,true,Hip-Hop
2017 Q4,Glam Metal,Rock/Punk/Metal,457900,606396,2.8,376343,4.4,457900,true,Hip-Hop
2017 Q4,Grime,Electronic,106849523,606396,2.8,376343,4.4,106849523,true,Hip-Hop
2017 Q4,Hard Rock,Rock/Punk/Metal,5290034,606396,2.8,376343,4.4,5290034,true,Hip-Hop
2017 Q4,Hip-Hop,Rap/Hip-Hop,157255558,606396,2.8,376343,4.4,157255558,true,Hip-Hop
2017 Q4,House,Dance/House,55488372,606396,2.8,376343,4.4,55488372,true,Hip-Hop
